<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTN,20190220,6.1824,6.1824,6.1824,6.1824,0
BTN,20190221,6.1824,6.1824,6.1824,6.1824,0
BTN,20190222,6.1824,6.1824,6.1824,6.1824,50
BTN,20190225,6.1824,6.1824,6.1824,6.1824,0
BTN,20190226,6.1824,6.1824,6.1824,6.1824,0
BTN,20190227,6.1824,6.1824,6.1824,6.1824,0
BTN,20190228,6.1824,6.1824,6.1824,6.1824,0
BTN,20190301,6.1824,6.1824,6.1824,6.1824,0
BTN,20190304,7.0518,7.0518,5.4096,5.4096,300
BTN,20190305,5.9892,5.9892,5.9892,5.9892,0
BTN,20190306,5.9892,5.9892,5.9892,5.9892,0
BTN,20190307,6.8586,6.8586,6.8586,6.8586,100
BTN,20190308,7.8246,7.8246,6.9552,6.9552,200
BTN,20190311,7.5000,7.5000,7.5000,7.5000,0
BTN,20190312,7.5000,7.5000,7.5000,7.5000,0
BTN,20190313,7.5000,7.5000,7.5000,7.5000,0
BTN,20190314,7.5000,7.5000,7.5000,7.5000,0
BTN,20190315,8.6000,8.6000,8.6000,8.6000,100
BTN,20190318,8.6000,8.6000,8.6000,8.6000,0
BTN,20190319,8.6000,8.6000,8.6000,8.6000,0
BTN,20190320,8.6000,8.6000,8.6000,8.6000,0
BTN,20190321,8.6000,8.6000,8.6000,8.6000,0
BTN,20190322,8.6000,8.6000,8.6000,8.6000,0
BTN,20190325,8.6000,8.6000,8.6000,8.6000,0
BTN,20190326,8.6000,8.6000,8.6000,8.6000,0
BTN,20190327,8.6000,8.6000,8.6000,8.6000,0
BTN,20190328,8.6000,8.6000,8.6000,8.6000,0
BTN,20190329,8.6000,8.6000,8.6000,8.6000,0
BTN,20190401,8.6000,8.6000,8.6000,8.6000,0
BTN,20190402,8.6000,8.6000,8.6000,8.6000,0
BTN,20190403,8.6000,8.6000,8.6000,8.6000,0
BTN,20190404,8.6000,8.6000,8.6000,8.6000,0
BTN,20190405,8.6000,8.6000,8.6000,8.6000,0
BTN,20190408,7.4000,7.4000,7.4000,7.4000,100
BTN,20190409,7.4000,7.4000,7.4000,7.4000,0
