<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VND,2018-06-13,12.0804,12.3393,12.0804,12.3393,715880
VND,2018-06-14,12.3393,12.6269,11.6202,11.6202,1761560
VND,2018-06-15,11.6202,11.7928,11.2751,11.7928,1227460
VND,2018-06-18,11.7928,11.9654,11.045,11.16,1134910
VND,2018-06-19,11.16,11.16,10.3834,10.6998,3472140
VND,2018-06-20,10.6998,11.16,10.671,11.045,5598550
VND,2018-06-21,11.045,11.2175,10.8724,10.9299,859260
VND,2018-06-22,10.9299,10.9587,10.6135,10.8724,1479070
VND,2018-06-25,10.8724,11.1888,10.8724,11.045,665760
VND,2018-06-26,11.045,11.045,10.5847,10.8149,848500
VND,2018-06-27,10.8149,10.8724,10.3546,10.3546,1093980
VND,2018-06-28,10.3546,10.3546,9.7794,9.8369,1665820
VND,2018-06-29,9.8369,10.1533,9.6643,9.9807,1124810
VND,2018-07-02,9.9807,9.9807,9.2904,9.4918,1111930
VND,2018-07-03,9.4918,9.578,8.859,8.859,1601900
VND,2018-07-04,8.859,9.3479,8.5713,9.2329,2299690
VND,2018-07-05,9.2329,9.2617,8.9165,9.2041,1545630
VND,2018-07-06,9.2041,9.8369,9.0316,9.8369,1745570
VND,2018-07-09,9.8369,10.1245,9.4918,9.6931,1784260
VND,2018-07-10,9.6931,10.0383,9.4918,9.7794,1135130
VND,2018-07-11,9.7794,9.7794,9.1466,9.2041,939850
VND,2018-07-12,9.2041,9.4918,9.0028,9.4342,734800
VND,2018-07-13,9.4342,9.6931,9.3192,9.578,532350
VND,2018-07-16,9.578,9.7794,9.5493,9.5493,690470
VND,2018-07-17,9.5493,9.8944,9.2904,9.8944,945170
VND,2018-07-18,9.8944,10.5847,9.8944,10.5847,1670710
VND,2018-07-19,10.5847,10.8149,10.4697,10.5847,1571100
VND,2018-07-20,10.5847,10.9299,10.1533,10.9299,1105740
VND,2018-07-23,10.9299,10.9299,10.2396,10.2971,1505730
VND,2018-07-24,10.2971,10.2971,9.7219,10.2396,1117980
VND,2018-07-25,10.2396,10.2971,9.8944,9.8944,665400
VND,2018-07-26,9.8944,10.067,9.6643,10.067,602740
VND,2018-07-27,10.067,10.3546,10.0383,10.1245,641720
VND,2018-07-30,10.1245,10.4122,10.1245,10.3546,687910
VND,2018-07-31,10.3546,10.556,10.067,10.4122,1276870
VND,2018-08-01,10.4122,10.6423,10.1821,10.2684,480510
VND,2018-08-02,10.2684,10.5847,10.067,10.556,851590
VND,2018-08-03,10.556,10.8724,10.556,10.5847,1015210
VND,2018-08-06,10.5847,10.6423,10.2971,10.2971,396670
VND,2018-08-07,10.2971,10.5272,10.1533,10.4122,516700
VND,2018-08-08,10.4122,11.1312,10.4122,11.1312,2777960
VND,2018-08-09,11.1312,11.6777,11.1312,11.2751,1210240
VND,2018-08-10,11.2751,11.7928,11.1025,11.7928,1505880
VND,2018-08-13,11.7928,12.3105,11.3901,12.1379,2188850
VND,2018-08-14,12.1379,12.2242,11.8503,12.0517,1487120
VND,2018-08-15,12.0517,12.1667,11.5052,11.5052,1766770
VND,2018-08-16,11.5052,11.9078,11.1025,11.6777,1661810
VND,2018-08-17,11.6777,12.0517,11.3326,11.5052,1362920
VND,2018-08-20,11.5052,11.8503,11.4476,11.5627,619740
VND,2018-08-21,11.5627,11.9654,11.5052,11.9654,1558520
VND,2018-08-22,11.9654,12.5982,11.9654,12.4256,2625530
VND,2018-08-23,12.4256,12.5406,12.253,12.4543,950410
VND,2018-08-24,12.4543,12.4543,12.2242,12.3105,969600
VND,2018-08-27,12.3105,12.6269,12.253,12.4256,1339430
VND,2018-08-28,12.4256,12.9433,12.4256,12.8283,2203560
VND,2018-08-29,12.8283,12.857,12.5694,12.6844,929140
VND,2018-08-30,12.6844,12.857,12.5982,12.857,991660
VND,2018-08-31,12.857,13.0584,12.7707,12.7707,1368410
VND,2018-09-04,12.7707,12.7707,12.0804,12.1955,1744450
VND,2018-09-05,12.1955,12.3393,12.0517,12.3393,1612950
VND,2018-09-06,12.3393,12.4831,12.0804,12.4831,1221510
VND,2018-09-07,12.4831,12.8283,12.3393,12.8283,2192800
VND,2018-09-10,12.8283,12.8858,12.7132,12.8283,1695850
VND,2018-09-11,12.8283,13.6336,12.7132,13.6336,2913620
VND,2018-09-12,13.6336,13.8062,13.4898,13.5473,2153290
VND,2018-09-13,13.5473,13.7487,13.0871,13.5186,2253700
VND,2018-09-14,13.5186,13.6911,12.9433,13.1734,4418130
VND,2018-09-17,13.1734,13.1734,12.7132,12.7132,2180590
VND,2018-09-18,12.7132,13.346,12.6269,13.1734,2137290
VND,2018-09-19,13.1734,13.4323,13.0008,13.1159,1986980
VND,2018-09-20,13.1159,13.346,12.9721,13.2309,2801100
VND,2018-09-21,13.2309,13.5761,13.1159,13.4035,2579770
VND,2018-09-24,13.4035,13.5186,13.1734,13.2885,1632210
VND,2018-09-25,13.2885,13.4035,13.1446,13.2885,1993160
VND,2018-09-26,13.2885,13.4898,13.1159,13.1446,2502100
VND,2018-09-27,13.1446,13.461,13.1446,13.3172,2947970
VND,2018-09-28,13.3172,13.461,13.1734,13.1734,1976770
VND,2018-10-01,13.1734,13.2597,12.9433,12.9721,1845900
VND,2018-10-02,12.9721,13.346,12.7707,12.8858,2302110
VND,2018-10-03,12.8858,13.1159,12.8858,13.0008,999940
VND,2018-10-04,13.0008,13.461,13.0008,13.3172,1503000
VND,2018-10-05,13.3172,13.3748,12.9433,12.9433,1500400
VND,2018-10-08,12.9433,13.2022,12.8858,13.0584,1242750
VND,2018-10-09,13.0584,13.2022,13.0008,13.1159,837770
VND,2018-10-10,13.1159,13.1734,12.9433,13.0008,837300
VND,2018-10-11,13.0008,13.0008,12.1092,12.1092,3793660
VND,2018-10-12,12.1092,12.2242,11.3901,11.9941,2670360
VND,2018-10-15,11.9941,12.0804,11.4476,11.4476,1691840
VND,2018-10-16,11.4476,11.5627,11.2463,11.4476,1254660
VND,2018-10-17,11.4476,11.8791,11.4476,11.8791,1292380
VND,2018-10-18,11.8791,11.8791,11.5627,11.5915,665130
VND,2018-10-19,11.5915,11.5915,11.1312,11.4189,1013020
VND,2018-10-22,11.4189,11.4189,10.6423,10.6423,2960650
VND,2018-10-23,10.6423,10.6423,9.9232,10.067,2820240
VND,2018-10-24,10.067,10.3259,10.0095,10.067,1209380
VND,2018-10-25,10.067,10.067,9.4918,10.0095,1526270
VND,2018-10-26,10.0095,10.2396,9.8369,9.8369,710410
VND,2018-10-29,9.8369,10.1533,9.7506,9.8369,1019840
VND,2018-10-30,9.8369,9.9807,9.6643,9.8369,876840
VND,2018-10-31,9.8369,10.4985,9.8369,10.4985,1667140
VND,2018-11-01,10.4985,10.6423,10.0958,10.1245,1624910
VND,2018-11-02,10.1245,10.6135,10.1245,10.4697,1043160
VND,2018-11-05,10.4697,10.4697,10.2396,10.4697,837680
VND,2018-11-06,10.4697,10.7286,10.3546,10.3546,1385020
VND,2018-11-07,10.3546,10.4697,10.2396,10.3546,1097770
VND,2018-11-08,10.3546,10.671,10.3546,10.4122,706440
VND,2018-11-09,10.4122,10.4697,10.2684,10.2971,921510
VND,2018-11-12,10.2971,10.4697,10.0958,10.4697,647810
VND,2018-11-13,10.4697,10.4697,10.1245,10.4697,825300
VND,2018-11-14,10.4697,10.556,10.3546,10.4409,1359100
VND,2018-11-15,10.4409,10.7573,10.4409,10.6135,1395620
VND,2018-11-16,10.6135,10.9299,10.6135,10.8724,732390
VND,2018-11-19,10.8724,10.9299,10.7573,10.8724,557670
VND,2018-11-20,10.8724,11.0162,10.6998,10.9299,792020
VND,2018-11-21,10.9299,10.9299,10.7573,10.8724,983090
VND,2018-11-22,10.8724,11.045,10.6423,10.7286,1273750
VND,2018-11-23,10.7286,10.7573,10.5272,10.6998,732790
VND,2018-11-26,10.6998,10.7861,10.5847,10.7861,406730
VND,2018-11-27,10.7861,10.9874,10.6998,10.8149,799530
VND,2018-11-28,10.8149,11.0162,10.8149,10.9299,1051360
VND,2018-11-29,10.9299,11.1888,10.8724,10.8724,1161610
VND,2018-11-30,10.8724,11.045,10.8149,10.9299,552410
VND,2018-12-03,10.9299,11.4764,10.9299,11.4476,1425430
VND,2018-12-04,11.4476,11.5339,11.2751,11.3901,1654270
VND,2018-12-05,11.3901,11.3901,11.1888,11.3613,1349120
